Loop ID,Segment ID,Segment Name,Element Description,Enumeration Values,Enrollment Sparse_Field Name,Mapping Logic,Custom,Comments
2100A,HLH03,Weight,Weight reported in pounds,,/enrollment/member/physicalCharacteristics/weightPoundsCount,,,
2100A,LUI,Member Language,,,,,,
2100A,LUI01,Identification Code Qualifier,Code designating the system/method of code structure used for IdentificationCode,"LD: NISO Z39.53 Language Codes
LE: ISO 639 Language Codes",,,,
2100A,LUI02,Identification Code,Code identifying a party or other code / Language Code,,"/enrollment/member/individual/languages/language/languageDomainCode/codeSetName  as 'LanguageDomain'

/enrollment/member/individual/languages/language/languageDomainCode/codeEntry from LUI02","/enrollment/member/individual/languages/listMode  as ""Default""",,
2100A,LUI03,Description,Language Description,,,,,
2100A,LUI04,Language Indicator,Code indicating the use of a language /Language Use Indicator,"5 :Language Reading
6 :Language Writing
7 :Language Speaking
8: Native Language",/enrollment/member/individual/languages/language/primaryLanguage,"If LUI04 = 7, them populate as true",,
,,,,,/enrollment/member/individual/languages/language/nativeLanguage,"If LUI04 = 6, them populate as true",,
2100A,LUI05,Language Proficiency,,,,,,
2100B — INCORRECT MEMBER NAME Loop Repeat: 1,,,,,,,,
2100B,NM1,Incorrect Member Name,,,,,,
2100B,NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",70 : Prior Incorrect Insured,,,,
2100B,NM102,Entity Type Qualifier,Code qualifying the type of entity,1 : Person,,,,
2100B,NM103,Name Last or Organization Name,Prior Incorrect Member Last Name,,/enrollment/member/oldMemberData/primaryName/lastName,,,
2100B,NM104,Name First,Prior Incorrect Member First Name,,/enrollment/member/oldMemberData/primaryName/firstName,,,
2100B,NM105,Member Middle Name,Prior Incorrect Member Middle Name,,/enrollment/member/oldMemberData/primaryName/middleName,,,
2100B,NM106,Member Name Prefix,Prior Incorrect Member Name Prefix,,/enrollment/member/oldMemberData/primaryName/namePrefix,,,
2100B,NM107,Member Name Suffix,Prior Incorrect Member Name Suffix,,/enrollment/member/oldMemberData/primaryName/nameSuffixList/suffix,,,
2100B,NM108,ID Code Qualifier,"Code designating the system/method of code structure used for Identification
Code","34: SSN
ZZ: Mutually Defined",,,,
2100B,NM109,ID Code,Prior Incorrect Insured Identifier,,/enrollment/member/oldMemberData/taxIdentificationNumber,"If NM108= 34  , Format : XXX-XX-XXXX",,
2100B,DMG,Incorrect Member Demographics,,,,,,
2100B,DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",D8 : Date Expressed in Format CCYYMMDD,,,,
2100B,DMG02,Date Time Period,Prior Incorrect Insured Birth Date,,/enrollment/member/oldMemberData/birthDate,Format :YYYY-MM-DD,,
2100B,DMG03,Gender Code,Prior Incorrect Insured Gender Code,"F Female
M Male
U Unknown",/enrollment/member/oldMemberData/genderCode,"If DMG03 equal to,
 M=Male,F=Female,U=Unknown",,
